Region_class;Sv_mean;NASC;Height_mean;Depth_mean;Date_M;Time_M;Lat_M;Lon_M;Standard_deviation;Skewness;Kurtosis;Corrected_length;Corrected_thickness;Corrected_perimeter;Corrected_area;Image_compactness;Corrected_MVBS;Coefficient_of_variation;X3D_school_area;X3D_school_volume
 ANCG;-60.96892;17.36094;0.50347;4.950873;20170306; 08:54:29.01;-18.29341667;-70.67068333;5.27E-07;0.708443;-0.510806;20.703009;0.980241;50.860313;7.502053;27.438985;-62.37171;91.071351;81.175724;2.144712
 ANCG;-61.611682;17.387528;0.584675;4.22265;20170306; 08:55:02.61;-18.29335;-70.67113333;5.01E-07;1.636953;1.896373;10.054612;1.077686;22.341777;4.333786;9.165541;-62.891211;97.443092;43.342874;1.657351
 ANCG;-60.490963;30.94656;0.803928;4.830947;20170306; 08:56:09.82;-18.29325;-70.67202359;6.62E-07;1.333914;1.166839;13.35377;1.954698;31.298964;8.928047;8.731595;-61.223563;87.68046;104.410361;5.843471
 ANCG;-58.645047;32.514548;0.552193;1.696703;20170306; 09:00:24.23;-18.2928;-70.67518265;1.25E-06;1.244925;1.016565;9.095586;0.980241;26.3814;3.61749;15.310115;-60.045518;126.489619;35.663452;1.207647
 ANCG;-58.761136;27.932589;0.487229;6.256018;20170306; 09:00:41.03;-18.29276667;-70.67538333;1.38E-06;1.356707;1.43063;17.680789;1.175132;39.956718;6.483344;19.596145;-59.935395;135.775046;83.109055;3.200114
 ANCG;-55.905102;97.048118;0.877012;1.548305;20170306; 09:01:19.43;-18.2927;-70.6758;3.32E-06;2.134629;4.17178;6.186917;0.882795;13.966462;3.783456;4.102743;-57.422683;183.352564;21.847115;2.175681
 ANCG;-56.119457;71.846754;0.68212;1.538251;20170306; 09:02:29.03;-18.29257106;-70.67661667;2.03E-06;0.555448;-1.082833;5.672265;0.785349;12.93857;2.590369;5.142817;-57.795182;122.02139;17.818832;1.406112
 ANCG;-61.273662;14.722664;0.457995;6.352634;20170306; 09:03:24.23;-18.2925;-70.67721667;8.51E-07;1.944921;3.924145;28.444763;1.467469;75.126163;10.463777;42.92241;-62.253234;143.005017;166.967279;4.541074
 ANCG;-62.869536;11.930643;0.535952;5.262071;20170306; 09:03:43.43;-18.29245;-70.67743333;3.48E-07;0.696913;-1.241652;5.747551;0.687903;12.891925;1.97688;6.690298;-64.736755;103.645502;15.815038;0.573754
 ANCG;-61.136392;19.398439;0.584675;6.830948;20170306; 09:03:55.43;-18.29243333;-70.67756667;5.38E-07;0.647789;-0.552097;16.275842;0.882795;41.223226;6.586706;20.530795;-62.657566;99.187171;57.47292;1.914256
 ANCG;-57.345021;69.661887;0.877012;1.548305;20170306; 09:04:02.63;-18.29243333;-70.67763792;1.39E-06;0.424661;-0.906533;4.556218;0.882795;11.405268;3.070448;3.371315;-58.855915;106.429053;16.088824;1.875075
 ANCG;-41.525608;3399.318112;1.120626;1.855706;20170306; 09:04:19.43;-18.2924;-70.6778;0.000125546;2.20916;4.147848;5.22696;1.467469;13.56595;4.643075;3.154168;-42.44171;220.279074;30.681617;3.980098
 ANCG;-49.475274;616.127759;1.266795;1.656578;20170306; 09:05:02.63;-18.29236208;-70.67826667;8.85E-06;0.396244;-1.365974;2.479443;0.882795;6.724474;2.18884;1.643966;-50.924493;109.518877;8.755358;1.517622
 ANCG;-53.951657;143.716952;0.828289;1.679506;20170306; 09:06:05.04;-18.29226667;-70.67892893;3.00E-06;0.450395;-0.993486;5.64183;1.077686;13.321523;3.490176;4.04623;-55.213152;99.549178;24.320494;2.661841
 ANCG;-55.856859;58.152389;0.519711;1.52868;20170306; 09:07:19.44;-18.29213333;-70.67973333;2.22E-06;0.818577;0.139638;16.887019;0.980241;43.335404;6.306689;23.695967;-57.267076;118.320085;66.213367;2.883528
 ANCG;-54.893738;65.028978;0.465574;1.366507;20170306; 09:08:24.24;-18.29203333;-70.68041667;2.90E-06;0.96956;-0.044949;26.558148;0.687903;56.442763;7.923607;31.995118;-56.80227;138.986187;73.077757;2.309228
 ANCG;-61.188187;28.7527;0.877012;6.355629;20170306; 09:09:07.44;-18.29196667;-70.6809;5.37E-07;1.368107;1.094145;8.555477;1.564915;26.259675;6.036686;9.090132;-62.072152;86.613945;53.554382;3.02382
 ANCG;-58.519916;59.055886;0.974458;6.230032;20170306; 09:09:24.25;-18.29195;-70.68108333;1.42E-06;1.785878;3.788094;8.320116;1.467469;32.199839;6.431152;12.829471;-59.44025;124.731366;48.838065;3.697795
 ANCG;-54.268657;146.698566;0.909494;1.733142;20170306; 09:13:14.65;-18.29173333;-70.68355;7.70E-06;3.520584;12.875953;8.535883;1.077686;31.412675;5.711269;13.748881;-55.544593;276.019185;36.796021;2.792195
 ANCG;-63.486089;20.703252;1.071903;4.385059;20170306; 09:15:29.06;-18.29165438;-70.685;2.04E-07;0.176601;-1.092725;2.881316;0.687903;7.139689;1.982067;2.046588;-65.340025;69.84836;7.928268;1.070867
